id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
5732,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:05:42.123,866900000,12,15,1032,4/5,125000,111111,lKpj
5733,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:43.109,866900000,12,15,901,4/5,125000,111113,iHf2
5734,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:05:59.507,866900000,12,15,901,4/5,125000,111114,Er7t
5735,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:02.079,866900000,12,15,901,4/5,125000,111111,5Fg1
5736,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:02.237,866900000,12,15,1032,4/5,125000,111117,XyOB
5737,"","[{""sf"":8,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:02.383,866900000,12,15,901,4/5,125000,111118,Er7t
5738,"","[{""sf"":7,""power"":9,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:03.88,866900000,12,15,901,4/5,125000,111116,LVvq
5739,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:04.642,866900000,12,15,1032,4/5,125000,111115,sIBw
5740,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:05.874,866900000,12,15,1032,4/5,125000,111115,44ZA
5741,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:05.922,866900000,12,15,1032,4/5,125000,111111,XyOB
5742,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:15.102,866900000,12,15,901,4/5,125000,111118,44ZA
5743,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:15.2,866900000,12,14,901,4/5,125000,111119,Pqp3
5744,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:15.344,866900000,12,14,1032,4/5,125000,111118,9jDV
5745,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:15.536,866900000,12,15,1032,4/5,125000,111116,K3uL
5746,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:17.018,866900000,12,14,1032,4/5,125000,111117,9jDV
5747,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:17.935,866900000,12,15,901,4/5,125000,111112,LldP
5748,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:18.653,866900000,12,14,901,4/5,125000,111114,Pqp3
5749,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:06:33.254,866900000,12,14,901,4/5,125000,111113,Pqp3
5750,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:35.302,866900000,12,15,1032,4/5,125000,111114,5Fg1
5751,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:35.459,866900000,12,15,1032,4/5,125000,111120,RQp2
5752,"",[],33477,t,f,t,2020-04-15 00:06:35.976,866900000,12,15,901,4/5,125000,111118,meQy
5753,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:06:36.436,866900000,12,15,1032,4/5,125000,111113,skSm
