id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
175,NzksMTAw,8.03,-57.1,35929,t,2020-05-03 20:54:14.439,1,866100000,8,5,71,4/5,125000,0,1,111114,LzxA
176,MTM4LDEwMA==,6.81,-37,35908,t,2020-05-03 20:54:15.883,2,866100000,7,13,46,4/5,125000,2,1,111112,LteR
177,MTE0LDEwMA==,7.22,-67.2,35918,t,2020-05-03 20:54:19.445,1,866100000,8,5,82,4/5,125000,0,1,111114,9qmh
178,MTQzLDEwMA==,10.06,-43.7,34876,t,2020-05-03 20:54:23.548,2,866100000,7,13,46,4/5,125000,3,1,111111,pjdQ
179,MTIyLDEwMA==,10.82,-79.2,35918,t,2020-05-03 20:54:24.451,1,866100000,8,5,82,4/5,125000,0,1,111114,9OTe
180,MTQ4LDEwMA==,9.97,-110.5,34821,t,2020-05-03 20:54:25.971,2,866900000,12,15,1032,4/5,125000,2,2,111112,ZFT1
181,NjAsMTAw,11.35,-89.7,34882,t,2020-05-03 20:54:29.119,2,866100000,7,13,40,4/5,125000,2,1,111111,3HGr
182,OTMsMTAw,9.02,-58.6,35929,t,2020-05-03 20:54:29.476,1,866100000,8,5,71,4/5,125000,0,1,111114,6qWg
183,OTgsMTAw,7.24,-94.7,35767,t,2020-05-03 20:54:31.591,1,866100000,10,15,233,4/5,125000,0,1,111112,v6Bp
184,NTMsMTAw,6.88,-101,35099,t,2020-05-03 20:54:33.977,1,866900000,12,15,901,4/5,125000,0,2,111114,1sZZ
185,NTMsMTAw,8.84,-111.6,33499,t,2020-05-03 20:54:34.193,2,866900000,12,15,901,4/5,125000,3,2,111111,7azr
186,NzYsMTAw,8.73,-108.1,35534,t,2020-05-03 20:54:36.599,2,866100000,10,14,233,4/5,125000,2,1,111112,TYuc
187,MTI5LDEwMA==,7.64,-94,35918,t,2020-05-03 20:54:39.55,1,866100000,8,5,82,4/5,125000,0,1,111114,s4iM
188,OTAsMTAw,6.5,-85.1,33297,t,2020-05-03 20:54:39.758,2,866100000,12,15,901,4/5,125000,2,1,111111,JJ5v
