id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
177,NTAsMTAw,7.13,-102.4,35099,t,2020-04-14 20:58:28.796,1,866900000,12,15,901,4/5,125000,0,1,111116,Q34O
178,NTksMTAw,8.79,-73.7,35099,t,2020-04-14 20:58:29.158,1,866900000,12,15,901,4/5,125000,2,1,111114,m74Y
179,NTksMTAw,11.46,-87.1,35099,t,2020-04-14 20:58:31.33,1,866900000,12,15,901,4/5,125000,1,1,111120,Q34O
180,NTgsMTAw,9.26,-48.1,35099,t,2020-04-14 20:58:33.171,1,866900000,12,15,901,4/5,125000,0,1,111111,VtLc
181,NTEsMTAw,7.18,-74.5,35099,t,2020-04-14 20:58:33.642,1,866900000,12,15,901,4/5,125000,2,1,111119,Q34O
182,MTQ4LDEwMA==,10.15,-96.3,34968,t,2020-04-14 20:58:33.996,1,866900000,12,15,1032,4/5,125000,1,1,111114,VtLc
183,MTQ5LDEwMA==,8.23,-90.3,34968,t,2020-04-14 20:58:34.834,1,866900000,12,15,1032,4/5,125000,0,1,111111,AzJn
184,MTQ3LDEwMA==,8.25,-58.5,34968,t,2020-04-14 20:58:36.577,1,866900000,12,15,1032,4/5,125000,0,1,111113,GVHs
185,NTIsMTAw,11.06,-97.1,35099,t,2020-04-14 20:58:40.374,1,866900000,12,15,901,4/5,125000,1,1,111116,GVHs
186,MTQ4LDEwMA==,11.71,-58.6,34968,t,2020-04-14 20:58:45.29,1,866900000,12,15,1032,4/5,125000,0,1,111114,T4FA
187,NTksMTAw,7.31,-37.6,35099,t,2020-04-14 20:58:45.415,1,866900000,12,15,901,4/5,125000,0,1,111120,AorZ
188,NTUsMTAw,10.6,-78.7,35099,t,2020-04-14 20:58:46.425,1,866900000,12,15,901,4/5,125000,1,1,111113,T4FA
