id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
92,"",[],34509,t,f,t,2020-04-14 20:55:33.868,866900000,12,15,901,4/5,125000,111116,0WFb
93,"",[],34378,t,f,t,2020-04-14 20:55:34.334,866900000,12,15,1032,4/5,125000,111120,t1Az
94,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:35.428,866900000,12,15,901,4/5,125000,111118,hVBI
95,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:35.606,866900000,12,15,901,4/5,125000,111115,wpmv
96,"","[{""sf"":8,""power"":9,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:41.533,866900000,12,14,901,4/5,125000,111115,gpAg
97,"",[],34509,t,f,t,2020-04-14 20:55:44.614,866900000,12,14,901,4/5,125000,111116,4S0y
98,"",[],34378,t,f,t,2020-04-14 20:55:45.164,866900000,12,14,1032,4/5,125000,111119,4S0y
99,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:49.693,866900000,12,15,901,4/5,125000,111112,803f
100,"",[],34378,t,f,t,2020-04-14 20:55:50.653,866900000,12,15,1032,4/5,125000,111118,uJ5i
101,"",[],34509,t,f,t,2020-04-14 20:55:51.551,866900000,12,15,901,4/5,125000,111117,uJ5i
102,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:53.193,866900000,12,15,901,4/5,125000,111115,803f
103,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:53.242,866900000,12,15,901,4/5,125000,111112,zsgT
104,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:58.314,866900000,12,15,901,4/5,125000,111114,zsgT
105,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:55:59.231,866900000,12,15,1032,4/5,125000,111118,3eyd
106,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:02.321,866900000,12,15,901,4/5,125000,111112,LKjL
107,"",[],34509,t,f,t,2020-04-14 20:56:02.467,866900000,12,15,901,4/5,125000,111118,fBr9
108,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:56:03.141,866900000,12,15,1032,4/5,125000,111119,zsgT
109,"",[],34378,t,f,t,2020-04-14 20:56:03.228,866900000,12,15,1032,4/5,125000,111114,LKjL
110,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:03.769,866900000,12,15,901,4/5,125000,111111,F9UP
111,"",[],34378,t,f,t,2020-04-14 20:56:03.925,866900000,12,15,1032,4/5,125000,111113,LKjL
112,"",[],34509,t,f,t,2020-04-14 20:56:04.902,866900000,12,14,901,4/5,125000,111111,ZLiV
113,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:56:11.143,866900000,12,15,1032,4/5,125000,111118,F9UP
114,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:14.269,866900000,12,15,901,4/5,125000,111111,MdOK
115,"",[],34509,t,f,t,2020-04-14 20:56:16.644,866900000,12,15,901,4/5,125000,111115,Lukr
116,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:18.918,866900000,12,15,901,4/5,125000,111115,IcMo
117,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:56:19.367,866900000,12,15,1032,4/5,125000,111117,MdOK
118,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:21.993,866900000,12,15,901,4/5,125000,111120,MdOK
119,"",[],34378,t,f,t,2020-04-14 20:56:22.059,866900000,12,15,1032,4/5,125000,111116,Lukr
120,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:22.518,866900000,12,15,901,4/5,125000,111119,Lukr
121,"",[],34509,t,f,t,2020-04-14 20:56:34.257,866900000,12,15,901,4/5,125000,111116,e3MT
122,"",[],34509,t,f,t,2020-04-14 20:56:34.974,866900000,12,15,901,4/5,125000,111120,FR2S
123,"","[{""sf"":11,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:41.149,866900000,12,15,901,4/5,125000,111116,D4GT
124,"",[],34378,t,f,t,2020-04-14 20:56:44.41,866900000,12,15,1032,4/5,125000,111118,5JTe
125,"",[],34509,t,f,t,2020-04-14 20:56:45.009,866900000,12,15,901,4/5,125000,111114,uydL
126,"",[],34378,t,f,t,2020-04-14 20:56:50.642,866900000,12,14,1032,4/5,125000,111111,tS1V
127,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:56:56.019,866900000,12,15,901,4/5,125000,111118,UDoQ
128,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:01.279,866900000,12,15,901,4/5,125000,111120,UDoQ
129,"",[],34378,t,f,t,2020-04-14 20:57:01.323,866900000,12,14,1032,4/5,125000,111117,tS1V
130,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:01.813,866900000,12,15,1032,4/5,125000,111113,pLNr
131,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:07.656,866900000,12,15,901,4/5,125000,111118,pLNr
132,"",[],34509,t,f,t,2020-04-14 20:57:09.077,866900000,12,15,901,4/5,125000,111119,e0cN
133,"",[],34509,t,f,t,2020-04-14 20:57:09.765,866900000,12,15,901,4/5,125000,111117,5Igc
134,"",[],34509,t,f,t,2020-04-14 20:57:11.754,866900000,12,14,901,4/5,125000,111112,IxFU
135,"",[],34509,t,f,t,2020-04-14 20:57:11.902,866900000,12,15,901,4/5,125000,111118,3azV
136,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:19.345,866900000,12,15,1032,4/5,125000,111116,M6Mr
137,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:20.656,866900000,12,15,1032,4/5,125000,111119,FPSm
138,"",[],34509,t,f,t,2020-04-14 20:57:22.89,866900000,12,15,901,4/5,125000,111113,eksU
139,"","[{""sf"":8,""power"":13,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:23.342,866900000,12,15,1032,4/5,125000,111112,6sZ1
141,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:24.267,866900000,12,15,901,4/5,125000,111114,6sZ1
142,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:30.926,866900000,12,15,901,4/5,125000,111116,gfq2
143,"",[],34509,t,f,t,2020-04-14 20:57:30.942,866900000,12,15,901,4/5,125000,111118,eksU
144,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:32.453,866900000,12,15,901,4/5,125000,111119,eksU
145,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:32.92,866900000,12,15,901,4/5,125000,111117,gfq2
