id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
151,MTA4LDEwMA==,11.4,-47.4,35853,t,2020-04-13 12:55:46.82,866100000,9,15,147,4/5,125000,0,1,333333,iwgk
152,NjQsMTAw,10.21,-89.3,35960,t,2020-04-13 12:55:48.746,866100000,7,13,40,4/5,125000,0,1,888888,VBFn
153,MTIwLDEwMA==,10.37,-53.1,35954,t,2020-04-13 12:55:49.28,866100000,7,13,46,4/5,125000,1,1,999999,Jppo
154,MTQ3LDEwMA==,7.92,-36.3,35954,t,2020-04-13 12:55:50.578,866900000,7,14,46,4/5,125000,0,1,555555,BbJ6
155,NjUsMTAw,7.78,-114.2,35960,t,2020-04-13 12:55:51.389,866100000,7,9,40,4/5,125000,0,1,666666,9NXa
156,ODIsMTAw,8.84,-56.9,35960,t,2020-04-13 12:55:55.354,866100000,7,13,40,4/5,125000,0,1,444444,vPkA
157,ODksMTAw,7.71,-90.9,35505,t,2020-04-13 12:55:55.691,866100000,11,15,495,4/5,125000,0,1,777777,LAsT
158,ODAsMTAw,11.68,-47.6,35960,t,2020-04-13 12:55:56.444,866100000,7,11,40,4/5,125000,0,1,111111,VqNJ
159,NzQsMTAw,9.47,-68.3,35872,t,2020-04-13 12:55:56.816,866100000,9,15,128,4/5,125000,0,1,333333,r1rY
160,NzksMTAw,10.82,-100.6,35960,t,2020-04-13 12:55:58.75,866100000,7,13,40,4/5,125000,0,1,888888,01mc
161,NjIsMTAw,10.43,-35.7,35960,t,2020-04-13 12:55:59.282,866100000,7,13,40,4/5,125000,0,1,999999,6BHV
162,NjUsMTAw,8.64,-82.7,35960,t,2020-04-13 12:56:01.041,866100000,7,13,40,4/5,125000,0,1,000000,MMPs
163,MTEwLDEwMA==,10.08,-54.8,35954,t,2020-04-13 12:56:01.179,866100000,7,10,46,4/5,125000,0,1,555555,J12C
164,MTE0LDEwMA==,11.06,-69.7,35954,t,2020-04-13 12:56:01.395,866100000,7,9,46,4/5,125000,0,1,666666,D0WD
165,NTYsMTAw,7.43,-56.9,35960,t,2020-04-13 12:56:02.289,866900000,7,14,40,4/5,125000,0,1,222222,NJDV
166,NjksMTAw,11.63,-75.3,35960,t,2020-04-13 12:56:05.367,866100000,7,13,40,4/5,125000,0,1,444444,fBr9
167,MTM0LDEwMA==,8.51,-101.2,35432,t,2020-04-13 12:56:05.709,866100000,11,15,568,4/5,125000,0,1,777777,DUXJ
168,ODUsMTAw,9.01,-113.3,35960,t,2020-04-13 12:56:06.467,866100000,7,11,40,4/5,125000,0,1,111111,O6tf
169,ODQsMTAw,9.83,-52.8,35872,t,2020-04-13 12:56:06.972,866100000,9,15,128,4/5,125000,0,1,333333,Z1PP
170,NzYsMTAw,10.24,-68.1,35960,t,2020-04-13 12:56:08.758,866100000,7,13,40,4/5,125000,0,1,888888,qF7i
171,NzMsMTAw,11.33,-108.5,35960,t,2020-04-13 12:56:11.042,866100000,7,13,40,4/5,125000,0,1,000000,Azpd
172,MTA3LDEwMA==,10.92,-108.5,35954,t,2020-04-13 12:56:11.184,866100000,7,10,46,4/5,125000,0,1,555555,8lnF
173,NzgsMTAw,9.9,-49.4,35960,t,2020-04-13 12:56:11.397,866100000,7,9,40,4/5,125000,0,1,666666,HNBG
174,NTQsMTAw,7.8,-109.3,35960,t,2020-04-13 12:56:12.881,866900000,7,14,40,4/5,125000,0,1,222222,M4T7
175,NzQsMTAw,6.92,-98.2,35960,t,2020-04-13 12:56:15.37,866100000,7,13,40,4/5,125000,0,1,444444,0G9J
176,NzEsMTAw,6.54,-103.3,35960,t,2020-04-13 12:56:16.464,866100000,7,11,40,4/5,125000,0,1,111111,MtzK
177,MTQwLDEwMA==,6.98,-62.4,35853,t,2020-04-13 12:56:16.83,866100000,9,15,147,4/5,125000,0,1,333333,ZKpw
178,NjIsMTAw,10.25,-93.6,35960,t,2020-04-13 12:56:18.763,866100000,7,13,40,4/5,125000,0,1,888888,0LFc
179,MTAxLDEwMA==,10.83,-114.5,35954,t,2020-04-13 12:56:19.31,866100000,7,13,46,4/5,125000,0,1,999999,LY7D
180,ODIsMTAw,6.55,-59.6,35960,t,2020-04-13 12:56:21.072,866100000,7,13,40,4/5,125000,1,1,000000,Acnt
181,OTEsMTAw,7.75,-38.1,35960,t,2020-04-13 12:56:21.194,866100000,7,10,40,4/5,125000,1,1,555555,cCHv
182,MTExLDEwMA==,8.21,-105.4,35954,t,2020-04-13 12:56:21.409,866100000,7,9,46,4/5,125000,0,1,666666,eSIx
183,OTQsMTAw,8.25,-77.2,35960,t,2020-04-13 12:56:25.379,866100000,7,13,40,4/5,125000,0,1,444444,c7Ni
184,MTEyLDEwMA==,10.59,-43.8,35432,t,2020-04-13 12:56:25.714,866100000,11,15,568,4/5,125000,0,1,777777,T3d6
